Filial,Filial - Nome,Data Emissao,CFOP,Cidade Destino,Cliente - UF,Lote,Placa,Transportadora,Peso Líq Calc,Peso Bruto,Tp Veículo,Tp Frota,Qt Eixos
01,01-URBANO MATRIZ,12/23/2024,VENDA,FRAIBURGO,SC,697855,SXO7G09,TRANSPORTES NARCISO MACIEL LTD,15860.00,16047.15,TRUCK,Semi Pesado,3
01,01-URBANO MATRIZ,12/23/2024,VENDA,TREZE TILIAS,SC,697855,SXO7G09,TRANSPORTES NARCISO MACIEL LTD,264.00,267.03,TRUCK,Semi Pesado,3
01,01-BROTO LEGAL CAMPINAS,1/7/2025,VENDA,CAPIVARI,SP,617888,DRG5F34,JAIR RAMOS,730.00,734.69,3/4 - 710,Leve/Extraleve,2
21,21-FORMOSA,2/3/2025,TRANSFERENCIA,CAUCAIA,CE,603515,MMC7B45,CORAL TRANSPORTES LTDA,36800.00,37402.40,BI-TREM,Pesado,7
21,21-FORMOSA,4/10/2025,TRANSFERENCIA,CAUCAIA,CE,604081,MMC7B45,CORAL TRANSPORTES LTDA,36500.00,37049.00,BI-TREM,Pesado,7
21,21-FORMOSA,2/7/2025,TRANSFERENCIA,CAUCAIA,CE,603558,MMC7B45,CORAL TRANSPORTES LTDA,0.00,36372.40,BI-TREM,Pesado,7
14,14-PONTA GROSSA,3/24/2025,VENDA,RIO CLARO,SP,014055,RXQ5H20,RODOLOG LOGISTICA LTDA,35680.00,35680.00,BI-TREM,Pesado,7
01,01-URBANO MATRIZ,4/10/2025,TRANSFERENCIA,SINOP,MT,700970,BCF5H28,LENITA PAULA EWALD ME,35100.00,35402.20,BI-TREM,Pesado,7
01,01-URBANO MATRIZ,2/19/2025,TRANSFERENCIA,SINOP,MT,699258,BCF5H28,LENITA PAULA EWALD ME,35100.00,35342.42,BI-TREM,Pesado,7
14,14-PONTA GROSSA,4/24/2025,TRANSFERENCIA,GUARULHOS,SP,605577,IAG6A89,RODRIGO ALVES MAIA TRANSPORTES,39810.00,39810.00,BI-TREM,Pesado,7
02,02-MATRIZ SUL,,VENDA,SAO PAULO,SP,123456,ABC1234,,5000.00,5100.00,TRUCK,Semi Pesado,3
03,03-FILIAL NORTE,13/30/2024,VENDA,RECIFE,PE,789012,XYZ9876,TRANSPORTES EXEMPLO LTDA,2500.00,2400.00,3/4,Leve/Extraleve,2
04,04-CENTRO OESTE,1/15/2025,TRANSFERENCIA,BRASILIA,DF,456789,DEF5678,LOGISTICA CENTRAL SA,45000.00,46000.00,BI-TREM,Pesado,10
